track_key,song,artist,entry_date,exit_date,total_days,peak_position,album_type,total_tracks,is_explicit,duration_ms,avg_popularity,max_popularity,peak_date,days_to_peak,is_still_active,album_size_bucket
maquillaje || renn & yexel,Maquillaje,Renn & Yexel,2025-03-21,2025-06-02,65,18,single,1,True,211969,77.50769230769231,83,2025-04-08,18,False,Single (1)
q u e v a s h a c e r h o y ? || omar courtz,Q U E V A S H A C E R H O Y ?,Omar Courtz,2025-09-25,2025-11-27,64,1,album,17,False,224022,85.875,89,2025-10-02,7,True,Large Album (13+)
después de la 1 || cris mj & floyymenor,Después De La 1,Cris Mj & FloyyMenor,2025-09-19,2025-11-23,63,11,single,2,True,177600,85.55555555555556,87,2025-09-27,8,False,EP (2-5)
gatita gangster || karol g,GATITA GANGSTER,KAROL G,2024-09-13,2024-11-24,63,30,album,9,True,170920,78.63492063492063,81,2024-10-12,29,False,Album (6-12)
la vida sin ti || rels b,La Vida Sin Ti,Rels B,2025-04-28,2025-06-29,63,8,album,13,False,164470,77.73015873015873,82,2025-05-02,4,False,Large Album (13+)
"shakira: bzrp music sessions, vol. 53 || bizarrap & shakira","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,2024-05-18,2024-07-18,61,30,single,1,False,214945,93.67213114754098,95,2024-05-23,5,False,Single (1)
soltera || shakira,Soltera,Shakira,2025-09-28,2025-11-27,61,5,single,1,False,214642,83.85245901639344,87,2025-10-14,16,True,Single (1)
la sevillana - sevillanas || omar montes,LA SEVILLANA - SEVILLANAS,Omar Montes,2025-05-05,2025-07-03,60,8,single,1,False,220346,63.28333333333333,77,2025-05-05,0,False,Single (1)
"milo j: bzrp music sessions, vol. 57 || bizarrap & milo j","Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap & Milo j,2024-10-07,2025-02-10,59,1,single,1,False,189901,86.22033898305085,89,2024-10-07,0,False,Single (1)
cafe malibú || sech & mora & saiko,Cafe Malibú,Sech & Mora & Saiko,2024-07-23,2024-09-19,59,9,single,1,True,260307,80.16949152542372,81,2024-07-25,2,False,Single (1)
"si si si si (feat. eladio carrion, bryant myers, dei v) || the academy: segunda misión & justin quiles & lenny tavárez","SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misión & Justin Quiles & Lenny Tavárez,2025-04-01,2025-06-08,58,16,album,9,True,241958,74.03448275862068,76,2025-04-12,11,False,Album (6-12)
antes || rvfv & edu garcía,Antes,Rvfv & Edu García,2024-05-18,2024-07-22,58,29,single,1,False,153684,78.1896551724138,79,2024-05-18,0,False,Single (1)
